
咪咕频道,#group#
//咪咕开始
英超 伊普斯维奇VS利物浦 全场回放（涂远、鲁靖明、邵凌霄） 02:45,http://129.150.55.255:31905/967289117
英超 伊普斯维奇VS利物浦 全场回放（江忠德） 02:45,http://129.150.55.255:31905/967288859
西甲 皇家贝蒂斯VS皇家马德里 全场回放（林梦鸽、孙雷） 02:45,http://129.150.55.255:31905/967288841
女篮世界杯 匈牙利VS法国 全场回放（姜帆） 02:50,http://129.150.55.255:31905/967288389
女篮世界杯 匈牙利VS法国 全场回放（英文解说） 02:50,http://129.150.55.255:31905/967289120
女篮世界杯 匈牙利VS法国 全场回放（赛场原声） 02:50,http://129.150.55.255:31905/967289105
法甲 巴黎圣日耳曼VS摩纳哥 全场回放（鹿中原、王宇） 02:50,http://129.150.55.255:31905/967288828
凯乐石松花湖东北100跑山赛 东北100跑山赛 2026凯乐石松花湖东北100跑山赛Day2全场回放（官方解说）（一） 06:00,http://129.150.55.255:31905/967299996
凯乐石松花湖东北100跑山赛 东北100跑山赛 2026凯乐石松花湖东北100跑山赛Day2全场回放（官方解说）（二） 06:00,http://129.150.55.255:31905/967306705
凯乐石松花湖东北100跑山赛 东北100跑山赛 2026凯乐石松花湖东北100跑山赛Day2全场回放（官方解说）（三） 06:00,http://129.150.55.255:31905/967321005
中国自行车运动协会系列赛 环上海新城自行车赛 2026环上海新城自行车赛全场回放day2（官方解说） 08:15,http://129.150.55.255:31905/967299394
ONE冠军赛 泰拳女传奇再下一城 斯坦普险胜弗洛雷斯 ONE巅峰系列赛47全场回放（陈瑞阳） 08:55,http://129.150.55.255:31905/967298950
ONE冠军赛 泰拳女传奇再下一城 斯坦普险胜弗洛雷斯 ONE巅峰系列赛47全场回放（英文原声） 08:55,http://129.150.55.255:31905/967300282
ONE冠军赛 泰拳女传奇再下一城 斯坦普险胜弗洛雷斯 斯坦普VS赛琳娜-弗洛雷斯 08:55,http://129.150.55.255:31905/967298658
WTT 方博单打止步8强 早田希娜横扫晋级半决赛 全场回放（徐儒叶） 13:00,http://129.150.55.255:31905/967302558
WTT 方博单打止步8强 早田希娜横扫晋级半决赛 全场回放（一号桌） 13:00,http://129.150.55.255:31905/967303885
WTT 方博单打止步8强 早田希娜横扫晋级半决赛 全场回放（二号桌） 13:00,http://129.150.55.255:31905/967305537
世界跆拳道大奖赛 傅晓璐斩获该级别金牌 马静月铜牌 2026世界跆拳道大奖赛韩国茂朱站Day1全场回放（官方解说） 13:55,http://129.150.55.255:31905/967304990
中甲 陕西联合VS定南赣联 全场回放（官方解说） 15:20,http://129.150.55.255:31905/967308778
中甲 陕西联合VS定南赣联 全场回放 15:20,http://129.150.55.255:31905/967309089
徽青赛 合肥VS淮南 全场回放 15:30,http://129.150.55.255:31905/967306305
徽青赛 宣城VS黄山 全场回放 15:30,http://129.150.55.255:31905/967306799
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 主赛全场回放（王琰博、郝俊） 19:00,http://129.150.55.255:31905/967321725
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 主赛全场回放（官方解说） 19:00,http://129.150.55.255:31905/967325540
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 主赛全场回放（陈瑞阳） 19:00,http://129.150.55.255:31905/967333473
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 主赛全场回放（英文解说） 19:00,http://129.150.55.255:31905/967325407
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 副赛全场回放（王琰博、郝俊） 19:00,http://129.150.55.255:31905/967305559
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 副赛全场回放（官方解说） 19:00,http://129.150.55.255:31905/967308972
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 副赛全场回放（陈瑞阳） 19:00,http://129.150.55.255:31905/967308894
JCK 艾力登顶JCK双冠王 凯皇赛后现虎狼之词 副赛全场回放（英文解说） 19:00,http://129.150.55.255:31905/967308937
桂超联赛 贵港浔郁VS广西漓泉天龍 全场回放 16:20,http://129.150.55.255:31905/967309918
CPB中国棒球城市联赛 上海虎鲸4-5北京正大龙 2026赛季CPB中国棒球城市联赛上海赛区全场回放：上海虎鲸4-5北京正大龙（官方解说） 16:30,http://129.150.55.255:31905/967318665
CPB中国棒球城市联赛 厦门海豚5-2深圳蓝袜 2026赛季CPB中国棒球城市联赛深圳赛区全场回放：厦门海豚5-2深圳蓝袜（官方解说） 16:30,http://129.150.55.255:31905/967316280
