河南酒店源,#genre#
湖南经视,http://38.75.136.137:98/gslb/dsdqbv/hnjs.m3u8?auth=test20251009
潇湘电影,http://38.75.136.137:98/gslb/dsdqbv/hndy.m3u8?auth=test20251009
湖南娱乐,http://38.75.136.137:98/gslb/dsdqbv/hnyl.m3u8?auth=test20251009
湖南教育,http://38.75.136.137:98/gslb/dsdqbv/hnjy.m3u8?auth=test20251009
重温经典,http://38.75.136.137:98/gslb/dsdqbv/cwjd.m3u8?auth=test20251009

辽宁都市,http://38.75.136.137:98/gslb/dsdqbv/lnds.m3u8?auth=test20251009
辽宁影视剧,http://38.75.136.137:98/gslb/dsdqbv/lnys.m3u8?auth=test20251009
辽宁经济,http://38.75.136.137:98/gslb/dsdqbv/lnjj.m3u8?auth=test20251009
辽宁体育,http://38.75.136.137:98/gslb/dsdqbv/lnty.m3u8?auth=test20251009
辽宁北方,http://38.75.136.137:98/gslb/dsdqbv/lnbf.m3u8?auth=test20251009
辽宁生活,http://38.75.136.137:98/gslb/dsdqbv/lnsh.m3u8?auth=test20251009
辽宁教育青少,http://38.75.136.137:98/gslb/dsdqbv/lnjy.m3u8?auth=test20251009

天津体育,http://38.75.136.137:98/gslb/dsdqbv/tjtv5.m3u8?auth=test20251009
天津都市,http://38.75.136.137:98/gslb/dsdqbv/tjtv4.m3u8?auth=test20251009
天津影视,http://38.75.136.137:98/gslb/dsdqbv/tjtv3.m3u8?auth=test20251009
广东体育,http://38.75.136.137:98/gslb/dsdqbv/gdty.m3u8?auth=test20251009
广东新闻,http://38.75.136.137:98/gslb/dsdqbv/gdxw.m3u8?auth=test20251009
广东珠江,http://38.75.136.137:98/gslb/dsdqbv/gdzj.m3u8?auth=test20251009

欢笑剧场,http://38.75.136.137:98/gslb/dsdqbv/hxjchd.m3u8?auth=test20251009
都市剧场,http://38.75.136.137:98/gslb/dsdqbv/dsjchd.m3u8?auth=test20251009
五星体育,http://38.75.136.137:98/gslb/dsdqbv/wxtyhd.m3u8?auth=test20251009
CHC动作电影,http://38.75.136.137:98/gslb/dsdqbv/chcdz.m3u8?auth=test20251009
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqbv/chcjt.m3u8?auth=test20251009
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqbv/chchd.m3u8?auth=test20251009
周星驰电影,http://38.75.136.137:98/gslb/dsdqbv/lbzxc.m3u8?auth=test20251009
周润发电影,http://38.75.136.137:98/gslb/dsdqbv/lbzrf.m3u8?auth=test20251009
成龙电影,http://38.75.136.137:98/gslb/dsdqbv/lbcl.m3u8?auth=test20251009
林正英影院,http://38.75.136.137:98/gslb/dsdqbv/lblzy.m3u8?auth=test20251009
邵氏电影,http://38.75.136.137:98/gslb/dsdqbv/lbssdy.m3u8?auth=test20251009
邵氏动作,http://38.75.136.137:98/gslb/dsdqbv/lbssdz.m3u8?auth=test20251009
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqbv/lbssxj.m3u8?auth=test20251009
邵氏武侠,http://38.75.136.137:98/gslb/dsdqbv/lbsswx.m3u8?auth=test20251009

